"","run.date","Wt.mg","ID","N","N.mg","N.area","C","C.mg","C.area","site","LU","stand","position","year","rep","inc_from","inc_to","depth","line","Nadj","CNevalday"
"96","14-Jul-20173913_51.prm",26.989,"It.E1.Ee2.3.0-10.16",0.2907,0.0785,18.958,5.4887,1.4813,809.7787,"It","E","It.E1","Ee2","16",3,0,10,5,35,0.264011515364935,"Jul-14"
"97","14-Jul-20174013_57.prm",26.75,"It.E1.L.3.0-10.16",0.3036,0.0812,19.481,5.9819,1.6002,872.3752,"It","E","It.E1","L","16",3,0,10,5,36,0.274581348052803,"Jul-14"
"98","14-Jul-20174114_03.prm",28.755,"It.E1.T.4.0-10.16",0.2733,0.0786,18.981,5.6095,1.613,879.1514,"It","E","It.E1","T","16",4,0,10,5,37,0.246154525865526,"Jul-14"
"99","14-Jul-20174214_09.prm",28.612,"It.E1.L.4.0-10.16",0.2047,0.0586,15.1636,4.6079,1.3184,723.9406,"It","E","It.E1","L","16",4,0,10,5,38,0.18360833931674,"Jul-14"
"100","14-Jul-20174314_14.prm",26.797,"It.E1.Ee1.4.0-10.16",0.309,0.0828,19.7837,5.5111,1.4768,807.3931,"It","E","It.E1","Ee1","16",4,0,10,5,39,0.27602396043145,"Jul-14"
"102","14-Jul-20174514_26.prm",26.483,"It.E1.Ee2.4.0-10.16",0.2733,0.0724,17.7943,5.1332,1.3594,745.5595,"It","E","It.E1","Ee2","16",4,0,10,5,41,0.242146007639436,"Jul-14"
"103","14-Jul-20174614_32.prm",26.499,"It.E1.T.4.0-10.04",0.1615,0.0428,12.1565,3.1656,0.8389,471.3008,"It","E","It.E1","T","04",4,0,10,5,42,0.142510125865482,"Jul-14"
"104","14-Jul-20174714_37.prm",26.847,"It.E1.T.1.0-10.04",0.242,0.065,16.3831,4.9231,1.3217,725.6814,"It","E","It.E1","T","04",1,0,10,5,43,0.212682236452029,"Jul-14"
"105","14-Jul-20174814_44.prm",28.12,"It.E1.T.3.0-10.04",0.2507,0.0705,17.4353,4.8082,1.3521,741.6822,"It","E","It.E1","T","04",3,0,10,5,44,0.219442086659306,"Jul-14"
"106","14-Jul-20174914_51.prm",27.164,"It.E1.T.2.0-10.04",0.2322,0.0631,16.0216,4.564,1.2398,682.506,"It","E","It.E1","T","04",2,0,10,5,45,0.20243451851642,"Jul-14"
"107","14-Jul-20175014_58.prm",29.901,"It.E1.T.2.0-10.04",0.2419,0.0723,17.7899,4.505,1.347,739.0209,"It","E","It.E1","T","04",2,0,10,5,46,0.210049646327722,"Jul-14"
"108","14-Jul-20175115_05.prm",28.264,"It.E1.L.4.10-20.16",0.2166,0.0612,15.6693,3.9357,1.1124,615.4053,"It","E","It.E1","L","16",4,10,20,15,47,0.187333386873457,"Jul-14"
"109","14-Jul-20175215_11.prm",28.139,"It.E1.T.1.10-20.04",0.1807,0.0509,13.692,3.3398,0.9398,524.481,"It","E","It.E1","T","04",1,10,20,15,48,0.155665507047585,"Jul-14"
"110","14-Jul-20175315_18.prm",26.467,"It.E1.T.2.10-20.04",0.1876,0.0496,13.4602,3.1736,0.8399,471.8774,"It","E","It.E1","T","04",2,10,20,15,49,0.160972386307833,"Jul-14"
"113","14-Jul-20175615_39.prm",26.724,"It.E1.T.3.10-20.04",0.1988,0.0531,14.1253,3.449,0.9217,514.959,"It","E","It.E1","T","04",3,10,20,15,52,0.168588580833608,"Jul-14"
"114","14-Jul-20175715_45.prm",26.891,"It.E1.T.4.10-20.04",0.2673,0.0719,17.7035,4.8855,1.3138,721.4952,"It","E","It.E1","T","04",4,10,20,15,53,0.225798853994581,"Jul-14"
"115","14-Jul-20175815_52.prm",27.827,"It.E1.T.2.10-20.16",0.4124,0.1148,25.8773,5.5056,1.532,836.4887,"It","E","It.E1","T","16",2,10,20,15,54,0.347023570857942,"Jul-14"
"120","11-Jul-2017510_55.prm",26.884,"Vg.E.Ee1.4.0-10.16",0.3451,0.0928,22.0073,5.5514,1.4924,826.6781,"Vg","E","Vg.E","Ee1","16",4,0,10,5,1,0.344381665301691,"Jul-11"
"121","11-Jul-2017611_00.prm",28.455,"Vg.E.Ee2.4.0-10.16",0.3622,0.1031,24.034,5.8865,1.675,928.5318,"Vg","E","Vg.E","Ee2","16",4,0,10,5,2,0.360695274532194,"Jul-11"
